layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_expert_00_post,purity_scalar,scalar,50000,0.07998705141113138,0.14382709347711264,0.1633422373706076,0.282819822353124,0.2645500912994113,
mlp_expert_02_post,purity_scalar,scalar,50000,0.013568035630470376,0.1524667571628602,0.1691356272908983,0.11648259299971876,0.09033499917979243,
enc_03_post,r_bloch_A,vec3,50000,0.9560732218490521,0.06442755468179591,0.08214217824208063,,,
mlp_in_pre,r_bloch_A,vec3,50000,0.9560732218490521,0.06442755468179591,0.08214217824208063,,,
mlp_expert_00_pre,r_bloch_A,vec3,50000,0.9560425799819529,0.06445150580753724,0.08216964231632666,,,
mlp_expert_01_pre,r_bloch_A,vec3,50000,0.9560425799819529,0.06445150580753724,0.08216964231632666,,,
mlp_expert_02_pre,r_bloch_A,vec3,50000,0.9560425799819529,0.06445150580753724,0.08216964231632666,,,
mlp_gating_pre,r_bloch_A,vec3,50000,0.9560425799819529,0.06445150580753724,0.08216964231632666,,,
mlp_in_post,r_bloch_A,vec3,50000,0.9560425799819529,0.06445150580753724,0.08216964231632666,,,
enc_02_post,r_bloch_A,vec3,50000,0.9464401725146634,0.07128691223092819,0.09129038309944398,,,
