layer,target,target_type,n_samples,r2_macro,mae_macro,rmse_macro,pearson,spearman,fro_rmse
mlp_fe2_post,C_rel_bits,scalar,50000,0.8266595812350707,0.11639056605264504,0.14799646863194746,0.9092091518950178,0.9150676030303472,
mlp_attn_post,C_rel_bits,scalar,50000,0.8140050095663849,0.12051594232500312,0.1533034948697185,0.9022396006303603,0.9081642836402898,
mlp_post_01_linear_post,C_rel_bits,scalar,50000,0.7183861980794344,0.14844277100051312,0.18863765976684355,0.847576694302689,0.8602539816044537,
mlp_post_03_ln_pre,C_rel_bits,scalar,50000,0.6149296358214514,0.17156857374345258,0.2205827160336689,0.78417532398366,0.7965351901910301,
mlp_post_03_ln_post,C_rel_bits,scalar,50000,0.6035486585369828,0.17431052765660054,0.2238187046262286,0.7768849797271635,0.7913578053871991,
mlp_post_05_linear_pre,C_rel_bits,scalar,50000,0.6035486585369828,0.17431052765660054,0.2238187046262286,0.7768849797271635,0.7913578053871991,
mlp_post_05_linear_post,C_rel_bits,scalar,50000,0.5270937996925528,0.18960589969370165,0.24444937774916406,0.7260123993631454,0.7299189080793916,
mlp_post_07_linear_pre,C_rel_bits,scalar,50000,0.498492786497134,0.19473057196390586,0.2517329261592082,0.7060407545846374,0.7073252791180981,
mlp_post_07_linear_post,C_rel_bits,scalar,50000,0.44951555433469415,0.2053987579895269,0.2637387588806335,0.6704592777557592,0.6737050924321062,
mlp_post_09_linear_post,C_rel_bits,scalar,50000,0.3719030953234117,0.21904387761278846,0.28171810513323836,0.6098385842673739,0.6278377897657124,
enc_00_post,Hinf_bits,scalar,50000,0.957732033156081,0.030165022003568548,0.04372659152007853,0.9786411070984167,0.8849378314029155,
enc_02_post,Hinf_bits,scalar,50000,0.9383117853626624,0.03912137844859477,0.05282518747771256,0.968664974029263,0.8651662935039427,
enc_03_post,Hinf_bits,scalar,50000,0.9241050282353891,0.04334566202221758,0.05859309627229451,0.961303837591241,0.8633447296431936,
mlp_in_pre,Hinf_bits,scalar,50000,0.9241050282353891,0.04334566202221758,0.05859309627229451,0.961303837591241,0.8633447296431936,
mlp_fe0_post,Hinf_bits,scalar,50000,0.923940291377295,0.04339199568168319,0.058656652593385164,0.9612181493739758,0.8633215991023241,
mlp_fe0_pre,Hinf_bits,scalar,50000,0.9239401981506536,0.04339229994084826,0.0586566885412026,0.9612181014883533,0.8633205482672277,
mlp_in_post,Hinf_bits,scalar,50000,0.9239401981506536,0.04339229994084826,0.0586566885412026,0.9612181014883533,0.8633205482672277,
enc_01_post,Hinf_bits,scalar,50000,0.9219936788323831,0.04498426614707827,0.059402516665353386,0.960208485333039,0.8643087693615396,
mlp_post_00_ln_post,Hinf_bits,scalar,50000,0.9182123269650149,0.043533062310090985,0.060825245783762,0.9582341271489789,0.8470815535073446,
mlp_post_01_linear_pre,Hinf_bits,scalar,50000,0.9182123269650149,0.043533062310090985,0.060825245783762,0.9582341271489789,0.8470815535073446,
mlp_fe2_pre,Hinf_bits,scalar,50000,0.9138456378984523,0.04618742074432007,0.06242787930371498,0.9559528851976118,0.8482780097999203,
mlp_post_00_ln_pre,Hinf_bits,scalar,50000,0.9062909719580452,0.04672917022078821,0.06510744655760932,0.9519933763555757,0.8425798449941162,
mlp_fe2_post,Hinf_bits,scalar,50000,0.906289941485072,0.046736491148744626,0.06510780453421516,0.95199287181521,0.8425663726339984,
mlp_attn_post,Hinf_bits,scalar,50000,0.9031684563390541,0.047454699603764146,0.06618329331826998,0.9503533146408432,0.8419360521741199,
mlp_post_01_linear_post,Hinf_bits,scalar,50000,0.889833752104407,0.05158046221509654,0.07059342051017616,0.9433100237010466,0.8369651514375904,
mlp_post_03_ln_post,Hinf_bits,scalar,50000,0.8157391633543831,0.06521620335189539,0.09129699135725192,0.9031833988209097,0.8086479994615485,
mlp_post_05_linear_pre,Hinf_bits,scalar,50000,0.8157391633543831,0.06521620335189539,0.09129699135725192,0.9031833988209097,0.8086479994615485,
mlp_post_03_ln_pre,Hinf_bits,scalar,50000,0.8139479441422663,0.06506947145800254,0.09173967200965513,0.90219106285333,0.8093507663044801,
mlp_post_05_linear_post,Hinf_bits,scalar,50000,0.7585343611239573,0.07578812630410581,0.10451235060279923,0.8709390308409272,0.7878470693245879,
mlp_post_07_linear_pre,Hinf_bits,scalar,50000,0.7289553597225005,0.07937802122743035,0.11072874008237585,0.8537889068156301,0.7788641922017574,
mlp_post_07_linear_post,Hinf_bits,scalar,50000,0.6202021194879266,0.0937597777893696,0.1310738979287474,0.787529228153968,0.7153551270557506,
mlp_post_09_linear_post,Hinf_bits,scalar,50000,0.4688673186449148,0.11929473715835853,0.15500348366795202,0.6847388716437681,0.6850302946581545,
mlp_fe0_post,N_neg,scalar,50000,0.793103334595096,0.0437366152721815,0.05616046419620274,0.8905637404189789,0.8921260993357626,
mlp_fe0_pre,N_neg,scalar,50000,0.793103002223779,0.043737074499012624,0.05616050930596784,0.8905635735253503,0.8921270456116029,
mlp_in_post,N_neg,scalar,50000,0.793103002223779,0.043737074499012624,0.05616050930596784,0.8905635735253503,0.8921270456116029,
enc_03_post,N_neg,scalar,50000,0.7930494247693973,0.043741080474729015,0.05616778041764784,0.8905334920112671,0.8921106295312443,
mlp_in_pre,N_neg,scalar,50000,0.7930494247693973,0.043741080474729015,0.05616778041764784,0.8905334920112671,0.8921106295312443,
mlp_fe2_pre,N_neg,scalar,50000,0.7604255061312293,0.04717993705481795,0.06043301099218949,0.872025337095837,0.8718789601864156,
enc_02_post,N_neg,scalar,50000,0.7561391929246132,0.048001209690685276,0.0609712286420831,0.8695629356787022,0.8706539595503736,
mlp_post_00_ln_pre,N_neg,scalar,50000,0.755618000312394,0.04758164243627523,0.06103634938276373,0.8692646588283182,0.8680050389112661,
mlp_fe2_post,N_neg,scalar,50000,0.755614987490548,0.047584634801576,0.06103672561972122,0.8692632344880167,0.8680229306380571,
mlp_post_00_ln_post,N_neg,scalar,50000,0.7541854477540119,0.04777781445545067,0.061214983680762995,0.8684402730410765,0.8684645040915459,
mlp_post_01_linear_pre,N_neg,scalar,50000,0.7541854477540119,0.04777781445545067,0.061214983680762995,0.8684402730410765,0.8684645040915459,
