sample_id,S_rho_bits,purity_scalar,Hinf_bits,r_bloch_A,s_bloch_B,T_corr,CHSH_bound_max,T_fro_norm,C_rel_bits,C_conc,N_neg
24481,0.6376658718367998,0.7292899113995175,0.2539579778405002,[ 0.34170656  0.2620745  -0.37934165],[-0.6219541  -0.10549889 -0.18780151],"[[-0.33183134 -0.0260282  -0.46404889]
 [-0.21620159 -0.63683219 -0.27407057]
 [ 0.5122609  -0.07164776 -0.18302532]]",1.9943883693120952,1.0745170154387598,1.1703692677474176,0.4005649694256627,0.19783491217313298
24482,7.695244356161347e-15,1.0000000000000002,-0.0,[-0.4636214   0.47114098 -0.73521056],[-0.14092974  0.89502319  0.39563303],"[[-0.06395337 -0.44628343 -0.18502072]
 [-0.09482439  0.37563789  0.30728673]
 [ 0.17124922 -0.695227   -0.22453172]]",2.022421125084103,1.0222981970018457,1.4389746228583686,0.15015591806902157,0.07507796247337195
24483,0.7966765559933053,0.6341762325360194,0.3978020972637941,[-0.16480958  0.46662256  0.11238217],[ 0.13718276 -0.38778342 -0.12805502],"[[ 0.24599204  0.35524254  0.12680489]
 [ 0.31874139 -0.33499154 -0.13367439]
 [-0.21275985 -0.57229282  0.53509278]]",1.9710405904394814,1.045745278488955,0.9384308252365674,0.35237023915661575,0.1743595942381424
24484,0.3742868752605798,0.8659298039668961,0.10820137936139819,[-0.01515991  0.32678857 -0.55170333],[-0.07975703  0.28494091 -0.61017599],"[[ 0.61468769 -0.16884381 -0.08862338]
 [-0.32606232 -0.27669161 -0.59781274]
 [ 0.0034819  -0.5359279   0.59225479]]",2.2462185586144057,1.2619250421893793,1.0110526271120932,0.5761583481286677,0.286353857848191
24485,9.209610395223734e-15,1.0,-0.0,[ 0.04834934  0.68169297 -0.50664802],[-0.82877307  0.10202791 -0.16266745],"[[-0.1335385   0.16151457  0.4844409 ]
 [-0.72389262  0.38626247 -0.26029005]
 [ 0.64905821  0.33374969  0.01707685]]",2.259437817831452,1.2460054680150794,1.7824851378003508,0.52560897891747,0.2628044963284203
24486,8.061477822281414e-15,0.9999999999999997,-0.0,[ 0.64052481  0.07634083 -0.44702541],[-0.6272932  -0.46939573  0.04585361],"[[-0.71174054 -0.4429702  -0.30256102]
 [ 0.28922328 -0.55239634 -0.03323301]
 [ 0.43282837  0.32099278 -0.5417779 ]]",2.3529286740980924,1.3297130038833587,1.5665626535828334,0.6197324573541882,0.3098662357970986
24487,0.2895588754866397,0.9036577277016561,0.07513441679221693,[-0.28000337  0.75171084  0.39466174],[-0.08566605  0.00178459  0.86930234],"[[-0.12026349  0.30926717 -0.29380129]
 [-0.01375134  0.08516432  0.80317184]
 [-0.31840946 -0.05114232  0.31530564]]",1.9723555737474392,1.025852586526668,0.9403789660428276,0.32031075395817393,0.1422028899267631
24488,0.8359172149259002,0.6093515094671415,0.44648521197065777,[ 0.13727224  0.34213023 -0.03878126],[ 0.38356312 -0.59395454 -0.08562099],"[[ 0.10442112 -0.05024675 -0.56962151]
 [ 0.19678075 -0.46197786  0.34337198]
 [ 0.24312942  0.15662168  0.03437607]]",1.6839936155286568,0.8903772651935731,1.1570010535371589,0.2941274300427085,0.12842152824050057
24489,3.0286175786722007e-15,1.0,1.6017132519074588e-16,[0.18976803 0.80243795 0.46360259],[ 0.6189349  -0.56143281  0.44334944],"[[ 0.05043122  0.01146266  0.37214415]
 [ 0.68487698 -0.41433273  0.32913924]
 [ 0.12897551 -0.49855578  0.23428376]]",2.1025261604739525,1.100140049147685,1.6910928274610777,0.32427466721260234,0.16213733674676478
24490,0.16717660475323343,0.9517829045746544,0.036111041239273736,[ 0.53193651 -0.47048613 -0.05672662],[-0.07243665 -0.24921284 -0.70326989],"[[ 0.21258046 -0.58960023 -0.56791822]
 [ 0.26159271 -0.17311111  0.72122524]
 [ 0.53776629  0.32834502 -0.0820996 ]]",2.3129421535112047,1.3182023409032526,1.414055266644355,0.6335965002844091,0.3092620992545074
